algo,model_num,val_acc,test_acc,hyperparams,param_importance,train_set_len,valid_set_len,test_set_len,n_outer_fold
RESNET101,0,0.6987951397895813,,"dict_items([('epochs', 42), ('batch_size', 28), ('optimizer', 'Adam'), ('lr', 0.051665317114137896), ('alb_trxs_p', 0.49464420821344646), ('alb_trxs_n_passes', 4)])","OrderedDict([('lr', 0.2724442237815135), ('batch_size', 0.24125229065861226), ('alb_trxs_p', 0.196289348849776), ('epochs', 0.1892266579085625), ('optimizer', 0.06325526344840446), ('alb_trxs_n_passes', 0.03753221535313122)])",664,83,,0
RESNET101,1,0.6987951397895813,,"dict_items([('epochs', 42), ('batch_size', 28), ('optimizer', 'Adam'), ('lr', 0.051665317114137896), ('alb_trxs_p', 0.49464420821344646), ('alb_trxs_n_passes', 4)])","OrderedDict([('lr', 0.2724442237815135), ('batch_size', 0.24125229065861226), ('alb_trxs_p', 0.196289348849776), ('epochs', 0.1892266579085625), ('optimizer', 0.06325526344840446), ('alb_trxs_n_passes', 0.03753221535313122)])",664,83,,0
RESNET101,2,0.6987951397895813,,"dict_items([('epochs', 42), ('batch_size', 28), ('optimizer', 'Adam'), ('lr', 0.051665317114137896), ('alb_trxs_p', 0.49464420821344646), ('alb_trxs_n_passes', 4)])","OrderedDict([('lr', 0.2724442237815135), ('batch_size', 0.24125229065861226), ('alb_trxs_p', 0.196289348849776), ('epochs', 0.1892266579085625), ('optimizer', 0.06325526344840446), ('alb_trxs_n_passes', 0.03753221535313122)])",664,83,,0
RESNET18,0,0.5662650465965271,,"dict_items([('epochs', 29), ('batch_size', 8), ('optimizer', 'Adagrad'), ('lr', 2.3960119320349876e-05), ('alb_trxs_p', 0.15350689305847218), ('alb_trxs_n_passes', 4)])","OrderedDict([('batch_size', 0.37344536429990904), ('alb_trxs_p', 0.17401180312062722), ('lr', 0.1578634923603662), ('epochs', 0.11492518010396514), ('alb_trxs_n_passes', 0.09599002020000981), ('optimizer', 0.08376413991512263)])",996,83,,1
RESNET18,1,0.5662650465965271,,"dict_items([('epochs', 29), ('batch_size', 8), ('optimizer', 'Adagrad'), ('lr', 2.3960119320349876e-05), ('alb_trxs_p', 0.15350689305847218), ('alb_trxs_n_passes', 4)])","OrderedDict([('batch_size', 0.37344536429990904), ('alb_trxs_p', 0.17401180312062722), ('lr', 0.1578634923603662), ('epochs', 0.11492518010396514), ('alb_trxs_n_passes', 0.09599002020000981), ('optimizer', 0.08376413991512263)])",996,83,,1
RESNET18,2,0.5662650465965271,,"dict_items([('epochs', 29), ('batch_size', 8), ('optimizer', 'Adagrad'), ('lr', 2.3960119320349876e-05), ('alb_trxs_p', 0.15350689305847218), ('alb_trxs_n_passes', 4)])","OrderedDict([('batch_size', 0.37344536429990904), ('alb_trxs_p', 0.17401180312062722), ('lr', 0.1578634923603662), ('epochs', 0.11492518010396514), ('alb_trxs_n_passes', 0.09599002020000981), ('optimizer', 0.08376413991512263)])",996,83,,1
RESNET34,0,0.7349397540092468,,"dict_items([('epochs', 17), ('batch_size', 15), ('optimizer', 'Adagrad'), ('lr', 8.939756845618861e-05), ('alb_trxs_p', 0.24002325779190073), ('alb_trxs_n_passes', 4)])","OrderedDict([('epochs', 0.576371821222564), ('batch_size', 0.17442427207700748), ('lr', 0.09560844722928276), ('alb_trxs_n_passes', 0.08487072809312717), ('alb_trxs_p', 0.05234621529913363), ('optimizer', 0.01637851607888484)])",501,83,,2
RESNET34,1,0.7349397540092468,,"dict_items([('epochs', 17), ('batch_size', 15), ('optimizer', 'Adagrad'), ('lr', 8.939756845618861e-05), ('alb_trxs_p', 0.24002325779190073), ('alb_trxs_n_passes', 4)])","OrderedDict([('epochs', 0.576371821222564), ('batch_size', 0.17442427207700748), ('lr', 0.09560844722928276), ('alb_trxs_n_passes', 0.08487072809312717), ('alb_trxs_p', 0.05234621529913363), ('optimizer', 0.01637851607888484)])",501,83,,2
RESNET34,2,0.7349397540092468,,"dict_items([('epochs', 17), ('batch_size', 15), ('optimizer', 'Adagrad'), ('lr', 8.939756845618861e-05), ('alb_trxs_p', 0.24002325779190073), ('alb_trxs_n_passes', 4)])","OrderedDict([('epochs', 0.576371821222564), ('batch_size', 0.17442427207700748), ('lr', 0.09560844722928276), ('alb_trxs_n_passes', 0.08487072809312717), ('alb_trxs_p', 0.05234621529913363), ('optimizer', 0.01637851607888484)])",501,83,,2
